Year,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,Popularity,MSRP
2017,268,6,4,30,21,2031,37650
2017,268,6,4,30,21,2031,33250
2017,268,6,4,30,21,2031,36450
2017,268,6,4,30,21,2031,35000
2012,283,6,4,29,19,1851,25995
2012,173,4,4,31,20,1851,21495
2012,283,6,4,29,19,1851,23995
2012,173,4,4,30,21,1851,18995
2013,283,6,4,29,19,1851,25695
2013,173,4,4,29,21,1851,19795
2013,173,4,4,31,20,1851,22595
2014,173,4,4,29,21,1851,20595
2014,283,6,4,29,19,1851,25795
2014,173,4,4,31,20,1851,23295
2014,700,12,2,16,10,1158,441600
2014,700,12,2,18,11,1158,397500
2014,720,12,2,16,10,1158,548800
2014,720,12,2,18,11,1158,497650
2015,700,12,2,16,10,1158,441600
2015,700,12,2,18,11,1158,397500
2015,720,12,2,16,10,1158,548800
2015,720,12,2,18,11,1158,497650
2016,700,12,2,17,10,1158,443800
2016,750,12,2,18,11,1158,535500
2016,750,12,2,18,11,1158,490700
2016,700,12,2,18,11,1158,399500
2009,107,4,4,34,27,1385,11965
2009,107,4,4,34,27,1385,15365
2009,107,4,4,34,27,1385,14100
2009,107,4,4,34,27,1385,11965
2009,107,4,4,34,27,1385,14100
2009,107,4,4,34,27,1385,15365
2010,108,4,4,35,27,1385,15365
2010,108,4,4,35,27,1385,11965
2010,108,4,4,35,27,1385,14100
2010,108,4,4,35,27,1385,12115
2010,108,4,4,35,27,1385,15365
2010,108,4,4,35,27,1385,14250
2011,108,4,4,35,27,1385,15365
2011,108,4,4,35,27,1385,12115
2011,108,4,4,35,27,1385,11965
2011,108,4,4,35,27,1385,14250
2011,108,4,4,35,27,1385,15365
2011,108,4,4,35,27,1385,14100
2003,302,8,4,17,12,61,45125
2003,302,8,4,17,12,61,42175
2003,302,8,4,17,12,61,39485
2003,302,8,4,17,12,61,42435
2004,302,8,4,16,12,61,45705
2004,302,8,4,17,12,61,42755
2004,302,8,4,17,12,61,40290
2004,302,8,4,16,12,61,43240
2005,302,8,4,17,11,61,40635
2005,302,8,4,16,11,61,43585
1990,138,4,3,24,19,2009,2000
1990,138,4,3,22,17,2009,2000
1990,138,4,3,20,16,2009,2000
1990,138,4,3,22,18,2009,2000
2015,293,6,4,28,19,1439,38200
2015,293,6,4,29,20,1439,34000
2016,293,6,4,29,20,1439,34100
2016,293,6,4,28,19,1439,39300
2017,293,6,4,28,20,1439,34100
2017,293,6,4,28,19,1439,39300
2003,185,6,4,22,16,210,23820
2003,185,6,4,24,17,210,20870
2004,185,6,4,22,16,210,24190
2004,185,6,4,24,17,210,21275
2005,185,6,4,22,16,210,24445
2005,185,6,4,24,17,210,21530
2010,500,8,2,15,9,520,363000
2007,450,8,2,15,10,520,329990
2008,450,8,2,15,9,520,329990
2009,450,8,2,15,9,520,334990
2015,177,0,4,82,85,617,41450
2016,177,0,4,82,85,617,41450
2017,177,0,4,82,85,617,39900
1998,119,4,2,24,19,586,2179
1998,160,6,2,19,14,586,3323
1998,160,6,2,20,15,586,2915
1998,150,6,2,21,15,586,2756
1998,119,4,2,24,19,586,2692
1998,150,6,2,20,15,586,2930
1998,119,4,4,24,19,586,2717
1998,150,6,2,20,15,586,3033
1998,150,6,2,20,15,586,2713
1998,119,4,2,24,19,586,2432
1999,160,6,2,19,15,586,3514
1999,160,6,4,19,15,586,3696
1999,119,4,2,24,19,586,2593
1999,160,6,4,19,15,586,3538
1999,160,6,2,20,16,586,2870
1999,119,4,2,24,19,586,2211
1999,150,6,4,20,16,586,3206
1999,150,6,4,21,16,586,3119
1999,150,6,2,20,16,586,3214
1999,150,6,2,21,16,586,2853
1999,160,6,2,20,15,586,3221
1999,119,4,2,24,19,586,2493
1999,150,6,4,21,16,586,2946
1999,150,6,2,20,16,586,3011
1999,119,4,4,24,19,586,2857
1999,160,6,4,20,15,586,3229
1999,119,4,2,24,19,586,2801
2000,119,4,2,24,20,586,2637
2000,119,4,2,24,20,586,2961
2000,143,6,4,21,16,586,3107
2000,143,6,4,20,15,586,3394
2000,143,6,2,21,16,586,2689
2000,160,6,4,19,15,586,3768
2000,119,4,2,24,20,586,2350
2000,143,6,4,21,16,586,3289
2000,143,6,2,21,16,586,2413
2000,160,6,4,19,15,586,3928
2000,160,6,4,19,14,586,3579
2000,143,6,2,21,16,586,3032
2000,143,6,2,20,15,586,3190
2007,207,6,4,17,14,586,26590
2007,148,6,2,21,16,586,19675
2007,143,4,2,26,21,586,15535
2007,148,6,4,21,16,586,19040
2007,148,6,4,21,16,586,21430
2007,207,6,4,19,15,586,22045
2008,207,6,4,17,14,586,26590
2008,207,6,4,19,15,586,22045
2008,143,4,2,26,21,586,15535
2009,143,4,2,26,21,586,16060
2009,207,6,4,19,15,586,22150
2001,150,6,2,19,15,586,20030
2001,150,6,2,21,15,586,14990
2001,150,6,2,21,15,586,17225
2001,150,6,4,21,15,586,18485
2001,119,4,2,24,19,586,14545
2001,119,4,2,24,19,586,12345
2001,150,6,2,19,15,586,18360
2001,207,6,4,20,16,586,19340
2001,150,6,2,21,15,586,17545
2001,140,4,2,26,21,586,12495
2001,207,6,4,18,14,586,22085
2001,140,4,2,26,21,586,14695
2001,150,6,2,21,15,586,15125
2006,250,6,4,21,16,640,30695
2006,250,6,4,21,16,640,32395
2006,250,6,4,21,16,640,34195
2006,250,6,4,21,16,640,34295
2006,250,6,4,21,16,640,37695
2006,250,6,4,21,16,640,35895
2006,250,6,4,21,16,640,33895
2006,250,6,4,21,16,640,32295
2006,250,6,4,21,16,640,35895
2006,250,6,4,21,16,640,32295
2006,250,6,4,21,16,640,34195
2006,250,6,4,21,16,640,32395
2006,250,6,4,21,16,640,33895
2006,250,6,4,21,16,640,35695
2006,250,6,4,21,16,640,34295
2006,250,6,4,21,16,640,35695
2006,250,6,4,21,16,640,37695
2006,250,6,4,21,16,640,30695
2007,245,6,4,21,16,640,29995
2007,245,6,4,21,16,640,37295
2007,245,6,4,21,16,640,35495
2007,245,6,4,21,16,640,37295
2007,245,6,4,21,16,640,33495
2007,245,6,4,21,16,640,33495
2007,245,6,4,21,16,640,31995
2007,245,6,4,21,16,640,34495
2007,245,6,4,21,16,640,35495
2007,245,6,4,21,16,640,32495
2007,245,6,4,21,16,640,32495
2007,245,6,4,21,16,640,34495
2004,165,4,4,25,19,640,22795
2004,210,4,4,22,16,640,23995
2004,210,4,4,21,16,640,24995
2004,165,4,4,25,19,640,21995
2004,210,4,4,21,16,640,26295
2005,165,4,4,25,19,640,22345
2005,210,4,4,23,17,640,24345
2005,210,4,4,21,16,640,25345
2005,210,4,4,21,16,640,27245
2005,165,4,4,25,19,640,23145
2006,210,4,4,23,17,640,24595
2006,165,4,4,26,20,640,22495
2006,210,4,4,21,16,640,25595
2006,210,4,4,21,16,640,27495
2006,165,4,4,25,19,640,23295
2014,170,4,2,32,24,873,27295
2014,210,4,2,29,23,873,31795
2014,210,4,2,29,23,873,34895
2014,170,5,2,27,21,873,27295
2014,140,4,2,41,28,873,32755
2014,210,4,2,31,23,873,29395
2014,170,4,2,32,24,873,29395
2014,170,4,2,32,24,873,25170
2014,210,4,2,29,23,873,30495
2014,210,4,2,31,23,873,30695
2014,170,4,2,32,24,873,29395
2014,140,4,2,41,28,873,31195
2014,210,4,2,31,23,873,30695
2014,170,4,2,32,24,873,30755
2014,210,4,2,29,23,873,34895
2014,170,4,2,32,24,873,27295
2014,210,4,2,31,23,873,33795
2014,140,4,2,41,28,873,30095
2014,210,4,2,29,23,873,30495
2014,170,5,2,27,21,873,27295
2014,210,4,2,31,23,873,29395
2014,210,4,2,31,23,873,33795
2014,170,5,2,27,21,873,29395
2014,140,4,2,41,28,873,29995
2014,170,4,2,32,24,873,25170
2014,170,5,2,27,21,873,25170
2014,210,4,2,29,23,873,31795
2014,170,5,2,27,21,873,25170
2014,170,5,2,27,21,873,29395
2014,140,4,2,41,28,873,28895
2015,150,4,2,40,30,873,30295
2015,210,4,2,29,23,873,31995
2015,210,4,2,31,23,873,33995
2015,150,4,2,40,30,873,30195
2015,210,4,2,29,23,873,32595
2015,170,4,2,32,24,873,29595
2015,210,4,2,29,23,873,35095
2015,170,4,2,32,24,873,30425
2015,170,4,2,32,24,873,29595
2015,170,4,2,32,24,873,27475
2015,210,4,2,31,23,873,30895
2015,150,4,2,40,30,873,31125
2015,150,4,2,40,30,873,29675
2015,210,4,2,29,23,873,30995
2015,210,4,2,31,23,873,34875
2015,210,4,2,29,23,873,32595
2015,210,4,2,31,23,873,29895
2015,150,4,2,40,30,873,29095
2015,150,4,2,40,30,873,31395
2015,210,4,2,31,23,873,29895
2015,170,4,2,32,24,873,27475
2015,170,4,2,32,24,873,25595
2015,170,4,2,32,24,873,30425
2015,170,4,2,32,24,873,25595
2015,170,4,2,32,24,873,25995
2015,210,4,2,29,23,873,30995
2015,210,4,2,31,23,873,30895
2015,210,4,2,29,23,873,35975
2015,150,4,2,40,30,873,30775
2015,210,4,2,31,23,873,33995
2015,150,4,2,40,30,873,32225
2015,210,4,2,29,23,873,35975
2015,210,4,2,31,23,873,31495
2015,170,4,2,32,24,873,27995
2015,210,4,2,29,23,873,35095
2015,210,4,2,29,23,873,31995
2015,210,4,2,31,23,873,31495
2015,170,4,2,32,24,873,27995
2015,210,4,2,31,23,873,34875
2016,210,4,2,31,23,873,29790
2016,170,4,2,34,25,873,28070
2016,210,4,2,31,23,873,34950
2016,210,4,2,31,23,873,32670
2016,170,4,2,34,25,873,28070
2016,210,4,2,31,23,873,31570
2016,170,4,2,34,25,873,30500
2016,170,4,2,34,25,873,25995
2016,210,4,2,31,23,873,36050
2016,210,4,2,31,23,873,30890
2016,210,4,2,31,23,873,36050
2016,210,4,2,31,23,873,32670
2016,170,4,2,34,25,873,25490
2016,210,4,2,31,23,873,34950
2016,210,4,2,31,23,873,29790
2016,210,4,2,31,23,873,30890
2016,170,4,2,34,25,873,30500
2016,210,4,2,31,23,873,31570
2016,170,4,2,34,25,873,25490
2016,170,4,2,34,25,873,25995
2015,150,4,2,41,31,873,25895
2015,210,4,2,30,24,873,31625
2015,170,4,2,33,25,873,20195
2015,170,4,2,33,25,873,24185
2015,170,4,2,33,25,873,26985
2015,210,4,2,31,23,873,30525
2015,170,4,2,33,25,873,26195
2015,210,4,2,31,23,873,30525
2015,210,4,2,30,24,873,31625
2015,170,4,2,33,25,873,26195
2015,170,4,2,33,24,873,23085
2015,170,4,2,33,25,873,21795
2015,210,4,2,31,23,873,28115
2015,210,4,2,30,24,873,32475
2015,210,4,2,31,23,873,28675
2015,170,4,2,33,24,873,20695
2015,210,4,2,31,23,873,25450
2015,150,4,2,41,31,873,27710
2015,210,4,2,31,23,873,25450
2015,210,4,2,30,24,873,26550
2015,170,4,2,33,24,873,25885
2015,210,4,2,30,24,873,29215
2015,170,4,2,33,24,873,25095
2015,150,4,2,41,31,873,26430
2015,170,4,2,33,24,873,25885
2015,150,4,2,41,31,873,29625
2015,210,4,2,31,23,873,31375
2015,170,4,2,33,24,873,25095
2015,170,4,2,33,24,873,20695
2015,150,4,2,41,31,873,28525
2015,170,4,2,33,24,873,23085
2015,150,4,2,41,31,873,28810
2015,170,4,2,33,25,873,24705
2015,210,4,2,30,24,873,29215
2015,170,4,2,33,25,873,21795
2015,210,4,2,30,24,873,32475
2015,210,4,2,31,23,873,28115
2015,210,4,2,31,23,873,28675
2015,210,4,2,31,23,873,31375
2015,210,4,2,30,24,873,26550
2015,170,4,2,33,24,873,23605
2015,150,4,2,41,31,873,25330
2015,210,4,2,30,24,873,29775
2015,210,4,2,30,24,873,29775
2015,170,4,2,33,25,873,24705
2015,170,4,2,33,25,873,24185
2015,150,4,2,41,31,873,24795
2015,170,4,2,33,24,873,23605
2015,170,4,2,33,25,873,26985
2016,210,4,2,31,23,873,25995
2016,210,4,2,31,24,873,27095
2016,170,4,2,34,25,873,22450
2016,170,4,2,34,25,873,19795
2016,170,4,2,34,25,873,25975
2016,170,4,2,34,24,873,21350
2016,210,4,2,31,24,873,27095
2016,170,4,2,34,25,873,19595
2016,210,4,2,31,23,873,31450
2016,210,4,2,31,23,873,31450
2016,170,4,2,34,25,873,22450
2016,210,4,2,31,24,873,32550
2016,170,4,2,34,25,873,25975
2016,170,4,2,31,24,873,23995
2016,210,4,2,31,24,873,32550
2016,170,4,2,34,24,873,21350
2016,170,4,2,34,25,873,19795
2016,210,4,2,31,23,873,25995
2016,170,4,2,31,24,873,23995
2017,170,4,2,33,24,873,20475
2017,170,4,2,33,24,873,19995
2017,170,4,2,31,24,873,23995
2017,170,4,2,33,24,873,21890
2017,210,4,2,29,23,873,32550
2017,170,4,2,33,24,873,25975
2017,170,4,2,33,24,873,22450
1994,170,4,2,27,18,1385,2000
1994,120,4,2,31,22,1385,2000
1995,120,4,2,33,21,1385,2000
1995,160,6,2,27,18,1385,2000
1996,120,4,2,33,22,1385,2000
1996,155,6,2,27,18,1385,2000
2013,320,8,4,21,15,1385,39030
2013,320,8,4,21,15,1385,41675
2013,320,8,4,21,15,1385,44580
2013,320,8,4,21,15,1385,38625
2013,320,8,4,21,15,1385,47885
2013,320,8,4,21,15,1385,35980
2002,300,8,4,15,11,61,51785
2003,190,6,2,20,14,1385,20745
2003,190,6,2,18,13,1385,23745
2003,190,6,4,21,15,1385,24695
2003,190,6,4,17,13,1385,26695
2003,190,6,2,20,14,1385,22845
2004,190,6,4,19,14,1385,25230
2004,190,6,4,17,13,1385,27230
2004,190,6,2,18,13,1385,24055
2004,190,6,2,19,14,1385,23255
2004,190,6,2,19,14,1385,21055
2005,190,6,2,17,13,1385,24305
2005,190,6,2,20,14,1385,21305
2005,190,6,4,20,15,1385,25480
2005,190,6,4,18,14,1385,27480
2003,205,6,4,27,17,210,26695
2003,205,6,4,27,17,210,29670
2003,240,6,4,25,16,210,34020
2004,205,6,4,27,18,210,27185
2004,275,8,4,22,15,210,35270
2004,205,6,4,27,18,210,30035
2005,275,8,4,22,15,210,35585
2005,205,6,4,27,18,210,30350
2005,205,6,4,27,18,210,27965
2009,337,8,4,22,15,1720,30995
2009,276,6,4,21,17,1720,27995
2009,276,6,4,21,16,1720,29995
2009,276,6,4,21,17,1720,26245
2009,337,8,4,20,15,1720,39995
2009,337,8,4,22,15,1720,37995
2009,337,8,4,20,15,1720,32995
2009,337,8,4,20,15,1720,30995
2009,276,6,4,21,16,1720,28295
2014,315,6,2,28,20,1715,62100
2014,265,6,2,30,20,1715,50400
2015,330,6,2,26,19,1715,73500
2015,315,6,2,28,20,1715,63300
2015,265,6,2,30,20,1715,51400
2016,330,6,2,26,19,1715,74600
2016,315,6,2,28,20,1715,63900
2016,265,6,2,30,20,1715,52100
2002,270,6,4,19,14,26,34745
2002,270,6,4,20,14,26,32215
2002,270,6,4,20,14,26,32660
2003,275,6,4,20,14,26,33395
2003,275,6,4,19,13,26,35345
2004,275,6,4,19,14,26,33920
2004,275,6,4,19,14,26,35870
1998,132,4,4,33,23,535,2000
1998,132,4,4,33,23,535,2000
1999,132,4,4,33,23,535,2000
1999,132,4,4,33,23,535,2000
2000,132,4,4,34,23,535,2000
1990,140,6,2,20,16,5657,2000
1990,140,6,2,20,16,5657,2000
1990,140,6,2,20,15,5657,2000
1990,140,6,2,20,15,5657,2000
1990,140,6,2,20,15,5657,2000
1990,140,6,2,20,16,5657,2000
1990,140,6,2,20,15,5657,2000
1990,140,6,2,20,16,5657,2000
1994,185,8,2,16,12,5657,2308
1994,185,8,2,17,12,5657,2585
1994,185,8,2,16,12,5657,2396
1995,205,8,2,16,12,5657,2620
1995,205,8,2,17,12,5657,2872
1995,205,8,2,16,12,5657,2474
1996,199,8,2,16,13,5657,2774
1996,199,8,2,16,13,5657,2996
1996,199,8,2,16,11,5657,3248
2009,530,8,2,14,10,520,340990
2010,530,8,2,15,9,520,340990
1990,140,8,4,22,15,1624,2000
1990,140,8,4,22,15,1624,2000
1991,170,8,4,23,15,1624,2000
1992,170,8,4,23,15,1624,2000
2015,200,4,2,30,22,640,29490
2015,200,4,2,34,25,640,28795
2015,200,4,2,30,22,640,25695
2015,200,4,2,30,22,640,27695
2016,200,4,2,30,22,640,27395
2016,200,4,2,30,22,640,27690
2016,200,4,2,34,25,640,28495
2016,200,4,2,30,22,640,25395
2017,200,4,2,33,24,640,28745
2017,205,4,2,29,21,640,29695
2017,205,4,2,29,21,640,25495
2017,205,4,2,29,21,640,27645
2015,241,4,4,31,24,617,40400
2015,302,6,2,27,19,617,46050
2015,241,4,4,27,19,617,42575
2015,451,8,2,19,13,617,62950
2015,241,4,4,34,25,617,38400
2015,302,6,2,28,20,617,44050
2015,241,4,4,31,24,617,41050
2015,329,6,4,29,21,617,48590
2015,241,4,4,34,25,617,39050
2015,503,8,4,25,18,617,71900
2015,241,4,4,34,25,617,40575
2015,469,8,4,25,18,617,63900
2015,201,4,2,31,22,617,39400
2016,241,4,4,31,24,617,43125
2016,362,6,4,29,21,617,50800
2016,241,4,4,34,25,617,41125
2016,241,4,4,31,24,617,41275
2016,503,8,4,25,18,617,73250
2016,469,8,4,25,18,617,65250
2016,241,4,4,34,25,617,38950
2016,241,4,4,34,25,617,39275
2016,241,4,4,31,24,617,40950
2017,241,4,4,34,24,617,39850
2017,241,4,4,34,24,617,39500
2017,362,6,4,29,21,617,52000
2017,503,8,4,24,18,617,72800
2017,469,8,2,23,17,617,67000
2017,241,4,4,34,24,617,41675
2017,241,4,2,31,24,617,44650
2017,241,4,2,30,23,617,42650
2017,241,4,4,31,24,617,43675
2017,469,8,4,24,18,617,65200
2017,241,4,4,31,24,617,41500
2017,241,4,4,31,24,617,41850
2017,503,8,2,23,17,617,75000
2017,241,4,2,29,22,617,52900
2017,241,4,2,31,23,617,50900
2015,188,4,4,37,42,5657,27170
2015,188,4,4,37,42,5657,24170
2016,188,4,4,37,42,5657,24170
2016,188,4,4,37,42,5657,27170
2017,188,4,4,37,42,5657,24120
2017,188,4,4,37,42,5657,27120
2011,227,5,2,29,21,870,24700
2011,227,5,2,29,21,870,27100
2012,227,5,2,29,21,870,27450
2012,227,5,2,29,21,870,24950
2013,227,5,2,29,21,870,25500
2013,227,5,2,29,21,870,27850
1995,268,6,4,20,16,617,3555
1996,276,6,4,20,16,617,3996
1997,276,6,4,22,16,617,4330
1998,302,8,4,21,16,617,4472
1999,302,8,4,21,16,617,4661
2000,302,8,4,21,16,617,5739
2011,227,5,2,28,19,870,39950
2012,227,5,2,28,18,870,40450
2013,227,5,2,28,19,870,41200
2009,400,8,2,18,13,2,209990
2009,400,8,2,18,13,2,219990
2009,400,8,2,18,13,2,209990
1996,172,6,2,22,17,3105,2631
1997,172,6,2,22,17,3105,2837
1998,172,6,2,22,17,3105,3137
1991,94,4,2,29,22,873,2000
1992,94,4,2,29,22,873,2000
1992,94,4,2,29,22,873,2000
1992,94,4,2,29,22,873,2000
1993,94,4,2,27,21,873,2000
1993,94,4,2,27,21,873,2000
2000,115,4,2,28,21,873,2473
2000,115,4,2,28,21,873,2568
2001,115,4,2,28,21,873,19600
2001,115,4,2,26,20,873,23175
2001,115,4,2,28,21,873,22300
2001,115,4,2,26,20,873,20475
2001,115,4,2,26,20,873,21475
2001,115,4,2,28,21,873,20600
2002,115,4,2,27,20,873,21475
2002,115,4,2,27,20,873,23175
2002,115,4,2,28,21,873,22300
2002,115,4,2,28,21,873,20600
2002,115,4,2,28,21,873,19600
2002,115,4,2,27,20,873,20475
2015,293,6,4,28,19,1720,34900
2015,293,6,4,28,19,1720,43800
2016,293,6,4,28,19,1720,44090
2016,293,6,4,28,19,1720,35990
2016,293,6,4,28,19,1720,32990
2017,290,6,4,28,20,1720,38990
2017,290,6,4,28,20,1720,31990
2017,290,6,4,28,20,1720,44390
2010,158,4,4,31,23,1851,18740
2010,172,4,4,29,23,1851,20555
2010,158,4,4,31,23,1851,16880
2010,158,4,4,27,23,1851,19995
2010,158,4,4,27,23,1851,18060
2010,158,4,4,31,23,1851,16975
2010,158,4,4,31,23,1851,17995
2010,172,4,4,29,23,1851,19995
2011,158,4,4,27,23,1851,18620
2011,158,4,4,27,23,1851,20585
2011,158,4,4,32,24,1851,17380
2011,172,4,4,29,23,1851,20585
2011,158,4,4,32,24,1851,18585
2012,158,4,4,32,24,1851,18730
2012,158,4,4,32,24,1851,17380
2012,158,4,4,27,23,1851,18765
2015,553,8,2,23,16,2774,198973
2012,453,8,2,19,13,2774,195840
2013,483,8,2,19,13,2774,198190
2014,483,8,2,19,13,2774,198190
2015,323,6,2,28,17,1385,29205
2015,323,6,2,28,17,1385,31205
2015,580,8,2,19,14,1385,55505
2015,426,8,2,24,16,1385,42405
2015,426,8,2,24,16,1385,39505
2015,426,8,2,24,16,1385,33505
2015,426,8,2,24,16,1385,37305
2015,323,6,2,28,17,1385,26005
2015,323,6,2,28,17,1385,35105
2015,505,8,2,19,13,1385,72305
2015,323,6,2,28,17,1385,23705
2015,323,6,2,30,19,1385,25145
2015,580,8,2,19,14,1385,60705
2016,455,8,2,25,16,1385,48300
2016,275,4,2,30,21,1385,36800
2016,455,8,2,25,16,1385,41300
2016,275,4,2,30,21,1385,32700
2016,275,4,2,30,21,1385,25700
2016,275,4,2,30,21,1385,29800
2016,455,8,2,25,16,1385,43300
2016,455,8,2,25,16,1385,36300
2017,455,8,2,25,16,1385,42905
2017,455,8,2,25,16,1385,47905
2017,275,4,2,30,20,1385,35605
2017,275,4,2,31,22,1385,32600
2017,455,8,2,25,16,1385,41905
2017,455,8,2,25,16,1385,36905
2017,275,4,2,30,20,1385,30405
2017,275,4,2,31,22,1385,26600
2017,275,4,2,30,20,1385,25905
2017,650,8,2,20,14,1385,61140
2017,275,4,2,30,20,1385,31905
2017,650,8,2,20,14,1385,67140
2015,200,4,4,38,40,2031,29980
2015,200,4,4,38,40,2031,27995
2015,200,4,4,39,43,2031,26790
2016,200,4,4,38,40,2031,30140
2016,200,4,4,38,40,2031,27995
2016,200,4,4,39,43,2031,26790
2017,200,4,4,38,42,2031,26790
2017,200,4,4,37,40,2031,27995
2017,200,4,4,37,40,2031,30140
2006,157,4,2,30,20,2031,21855
2006,225,6,2,26,18,2031,26940
2006,225,6,2,27,18,2031,23355
2006,225,6,2,26,18,2031,30210
2006,157,4,2,30,21,2031,21025
2006,225,6,2,27,18,2031,21860
2006,157,4,2,30,20,2031,20360
2006,157,4,2,30,21,2031,19530
2006,225,6,2,27,18,2031,26405
2006,157,4,2,30,20,2031,23405
2007,155,4,2,31,21,2031,19930
2007,210,6,2,26,18,2031,29460
2007,210,6,2,26,18,2031,27190
2007,155,4,2,31,22,2031,20760
2007,155,4,2,31,22,2031,23030
2007,210,6,2,27,18,2031,24530
2007,155,4,2,31,22,2031,23905
2007,210,6,2,27,18,2031,26905
2007,210,6,2,26,18,2031,30460
2007,210,6,2,27,18,2031,22260
2007,155,4,2,31,21,2031,22200
2008,210,6,2,26,18,2031,27440
2008,155,4,2,31,22,2031,24155
2008,155,4,2,31,21,2031,22450
2008,210,6,2,27,18,2031,27155
2008,210,6,2,27,18,2031,22510
2008,210,6,2,26,18,2031,30710
2008,155,4,2,31,22,2031,21010
2008,210,6,2,27,18,2031,24780
2008,155,4,2,31,22,2031,23280
2008,210,6,2,26,18,2031,29710
2008,155,4,2,31,21,2031,20180
2015,178,4,4,35,25,2031,26150
2015,178,4,4,35,25,2031,26150
2015,268,6,4,31,21,2031,31370
2015,268,6,4,31,21,2031,31370
2015,178,4,4,35,25,2031,22970
2015,178,4,4,35,25,2031,23840
2016,178,4,4,35,25,2031,26310
2016,178,4,4,35,25,2031,23840
2016,178,4,4,35,25,2031,26310
2016,178,4,4,35,25,2031,25715
2016,178,4,4,35,25,2031,23070
2016,268,6,4,31,21,2031,31370
2016,268,6,4,31,21,2031,31370
2017,178,4,4,33,24,2031,23070
2017,178,4,4,33,24,2031,23840
2017,178,4,4,33,24,2031,26310
2017,268,6,4,30,21,2031,31370
2017,268,6,4,30,21,2031,31370
2017,178,4,4,33,24,2031,26310
2012,185,4,4,25,18,549,24685
2012,185,4,2,23,17,549,22385
2012,185,4,4,25,18,549,23040
2012,242,5,4,21,16,549,31790
2012,242,5,4,21,16,549,28610
2012,185,4,4,25,18,549,20840
2012,185,4,2,25,18,549,17490
2012,242,5,4,23,17,549,29145
2012,242,5,4,21,16,549,29125
2012,185,4,2,25,18,549,20455
2012,185,4,4,23,17,549,24435
2012,242,5,2,23,17,549,25305
2012,185,4,4,23,17,549,26485
2012,242,5,4,23,17,549,26470
2015,200,4,4,27,20,549,29730
2015,200,4,4,25,19,549,27935
2015,305,6,4,24,17,549,37250
2015,200,4,4,26,19,549,22650
2015,200,4,4,27,20,549,26595
2015,200,4,4,26,19,549,20995
2015,305,6,4,26,18,549,26725
2015,200,4,4,27,20,549,25205
2015,200,4,4,27,20,549,31650
2015,200,4,4,25,19,549,33855
2015,305,6,4,24,17,549,36950
2015,200,4,4,27,20,549,28535
2015,305,6,4,24,17,549,34310
2015,305,6,4,26,18,549,33420
2015,200,4,4,25,19,549,31145
2015,305,6,4,26,18,549,30055
2015,305,6,4,24,17,549,34010
2016,305,6,4,26,18,549,34280
2016,305,6,4,24,17,549,35020
2016,305,6,4,24,17,549,38110
2016,305,6,4,24,17,549,37810
2016,305,6,4,24,17,549,35665
2016,305,6,4,26,18,549,31540
2016,200,4,4,26,19,549,20955
2016,200,4,4,25,19,549,28595
2016,305,6,4,26,18,549,27385
2016,200,4,4,27,20,549,29245
2016,200,4,4,27,20,549,25865
2016,200,4,4,26,19,549,23310
2016,305,6,4,26,18,549,30765
2016,200,4,4,25,19,549,31855
2016,305,6,4,26,18,549,33460
2016,305,6,4,24,17,549,34720
2016,200,4,4,27,20,549,27305
1994,260,8,4,23,15,1385,2000
1994,200,8,4,24,16,1385,2000
1994,200,8,4,24,16,1385,2000
1995,200,8,4,24,16,1385,2000
1995,260,8,4,23,15,1385,2000
1996,260,8,4,24,15,1385,2000
1996,200,8,4,24,16,1385,2000
2013,180,4,4,28,20,1385,24155
2013,180,4,4,28,20,1385,29615
2013,180,4,4,28,20,1385,25770
2013,180,4,4,28,20,1385,24940
2014,180,4,4,28,20,1385,25145
2014,180,4,4,28,20,1385,24360
2014,180,4,4,28,20,1385,25975
2014,180,4,4,28,20,1385,29495
2015,180,4,4,28,20,1385,25985
2015,180,4,4,28,20,1385,29505
2015,180,4,4,28,20,1385,25155
2015,180,4,4,28,20,1385,24370
2005,150,4,4,24,17,1851,18380
2005,180,6,4,24,17,1851,19835
2005,180,6,4,24,17,1851,22225
2006,180,6,4,24,17,1851,20130
2006,150,4,4,24,17,1851,18630
2006,180,6,4,24,17,1851,22520
2007,170,6,4,24,17,1851,22995
2007,170,6,4,24,17,1851,20555
2007,150,4,4,24,17,1851,19055
2004,605,10,2,15,9,1715,440000
2005,605,10,2,15,9,1715,440000
2016,200,4,2,27,20,155,33065
2016,200,4,2,27,20,155,36065
2017,200,4,2,27,20,155,36065
2017,200,4,2,27,20,155,33065
2017,200,4,2,27,20,155,37065
1999,200,6,4,23,16,1624,2066
2000,200,6,4,23,16,1624,2103
2000,200,6,4,23,16,1624,2241
2001,200,6,4,22,16,1624,31305
2003,140,4,4,30,22,1385,14230
2003,140,4,2,30,22,1385,14030
2003,140,4,4,30,22,1385,15730
2003,140,4,4,30,22,1385,17030
2003,140,4,2,30,22,1385,16830
2003,140,4,2,30,22,1385,15530
2004,140,4,2,33,23,1385,17410
2004,140,4,4,33,23,1385,16105
2004,140,4,4,33,23,1385,14435
2004,140,4,2,33,23,1385,15905
2004,140,4,2,33,23,1385,14235
2004,140,4,4,33,23,1385,17610
2004,140,4,2,33,23,1385,10135
2005,140,4,4,33,23,1385,16290
2005,140,4,4,33,23,1385,14610
2005,140,4,2,33,23,1385,16090
